"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"IDMPPhPModel","IDMPPhPModel","","","",0,*,"","","","","IDMP Pharmaceutical Product logical model","IDMP Pharmaceutical Product logical model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"IDMPPhPModel.identifier","IDMPPhPModel.identifier","","","",0,*,"","","","BackboneElement {[]} {[]}
","Identifiers","Identifiers","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.identifier",0,*,"",""
"IDMPPhPModel.identifier.l1-identifier","IDMPPhPModel.identifier.l1_identifier","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 1","IDMP PhPID Level 1","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.identifier.l1_identifier",0,1,"",""
"IDMPPhPModel.identifier.l2-identifier","IDMPPhPModel.identifier.l2_identifier","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 2","IDMP PhPID Level 2","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.identifier.l2_identifier",0,1,"",""
"IDMPPhPModel.identifier.l3-identifier","IDMPPhPModel.identifier.l3_identifier","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 3","IDMP PhPID Level 3","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.identifier.l3_identifier",0,1,"",""
"IDMPPhPModel.identifier.l4-identifier","IDMPPhPModel.identifier.l4_identifier","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 4","IDMP PhPID Level 4","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""0x073AF2E5B92AE19E8B67635AFFB3D6CA""/>","","",,,,,"",,,,"IDMPPhPModel.identifier.l4_identifier",0,1,"",""
"IDMPPhPModel.ingredient","IDMPPhPModel.ingredient","","","",1,*,"","","","BackboneElement {[]} {[]}
","Ingredient(s) that are part of the product, with therapeutical usage or not","Ingredient(s) that are part of the product, with therapeutical usage or not","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.ingredient",1,*,"",""
"IDMPPhPModel.ingredient.substance","IDMPPhPModel.ingredient.substance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Codification of the substance","Codification of the substance","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Amlodipine Besilate""/>","","",,,,,"",,,,"IDMPPhPModel.ingredient.substance",1,1,"",""
"IDMPPhPModel.ingredient.strength","IDMPPhPModel.ingredient.strength","","","",1,1,"","","","BackboneElement {[]} {[]}
","Authorized strength of the substance","Authorized strength of the substance","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.ingredient.strength",1,1,"",""
"IDMPPhPModel.ingredient.strength.strengthValue","IDMPPhPModel.ingredient.strength.strengthValue","","","",1,1,"","","","BackboneElement {[]} {[]}
","Strength of the substance in this product","Strength of the substance in this product","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.ingredient.strength.strengthValue",1,1,"",""
"IDMPPhPModel.ingredient.strength.strengthValue.numerator","IDMPPhPModel.ingredient.strength.strengthValue.numerator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength numerator","Strength numerator","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""5 mg""/>","","",,,,,"",,,,"IDMPPhPModel.ingredient.strength.strengthValue.numerator",1,1,"",""
"IDMPPhPModel.ingredient.strength.strengthValue.denominator","IDMPPhPModel.ingredient.strength.strengthValue.denominator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength denominator","Strength denominator","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.ingredient.strength.strengthValue.denominator",1,1,"",""
"IDMPPhPModel.ingredient.strength.boss","IDMPPhPModel.ingredient.strength.boss","","","",1,1,"","","","code {[]} {[]}
","base | base-modifier | ref-substance","basis of substance strength","not needed from countries, will be looked up by substance","","","","","","","","",,"required","","http://medigree.net/eu/fhir/medigree/ValueSet/BoSS-vs","",,,,"IDMPPhPModel.ingredient.strength.boss",1,1,"",""
